Dates,Volume,Change,Direction
Wed 30 Mar '16,376.7 M,+0.0092 (+1.05%),UP
Wed 04 May '16,525.76 M,-0.0202 (-2.28%),DOWN
Fri 13 May '16,2.11 B,+0.1352 (+15.21%),UP
Mon 16 May '16,973.03 M,+0.03 (+2.95%),UP
Tue 17 May '16,628.39 M,+0.00 (+0.21%),UP
Wed 18 May '16,541.07 M,+0.03 (+2.55%),UP
Thu 23 Jun '16,297.88 M,+0.03 (+2.67%),UP
Fri 08 Jul '16,481.93 M,+0.05 (+4.01%),UP
Mon 11 Jul '16,448.78 M,+0.03 (+2.30%),UP
Tue 12 Jul '16,436.76 M,+0.02 (+1.50%),UP
Wed 13 Jul '16,324.61 M,-0.00 (-0.04%),UP
Fri 12 Aug '16,1.43 B,+0.08 (+5.59%),UP
Mon 15 Aug '16,573.3 M,-0.00 (-0.10%),UP
Fri 09 Sep '16,697.76 M,-0.08 (-4.98%),DOWN
Mon 24 Oct '16,339.84 M,+0.08 (+4.69%),UP
Tue 25 Oct '16,397.46 M,+0.03 (+1.64%),UP
Wed 26 Oct '16,333.79 M,+0.01 (+0.40%),UP
Fri 11 Nov '16,2.18 B,+0.51 (+29.81%),UP
Mon 14 Nov '16,1.35 B,-0.11 (-4.92%),UP
Tue 15 Nov '16,626.09 M,+0.06 (+3.05%),UP
Wed 16 Nov '16,987.99 M,+0.14 (+6.31%),UP
Thu 17 Nov '16,832.99 M,+0.02 (+0.83%),UP
Thu 15 Dec '16,746.55 M,+0.06 (+2.34%),UP
Fri 16 Dec '16,1.09 B,+0.04 (+1.72%),UP
Mon 19 Dec '16,744.66 M,+0.03 (+1.22%),UP
Tue 20 Dec '16,848.06 M,+0.09 (+3.48%),UP
Wed 21 Dec '16,576.13 M,+0.02 (+0.63%),UP
Thu 22 Dec '16,718.61 M,+0.03 (+1.21%),UP
Fri 23 Dec '16,647.69 M,+0.07 (+2.49%),UP
Tue 27 Dec '16,1.19 B,+0.19 (+6.87%),UP
Wed 01 Feb '17,590 M,+0.12 (+4.37%),UP
Thu 02 Feb '17,483.24 M,+0.04 (+1.26%),UP
Mon 06 Feb '17,506.77 M,+0.07 (+2.56%),UP
Tue 07 Feb '17,746.22 M,+0.05 (+1.55%),UP
Thu 23 Feb '17,1.59 B,-0.26 (-9.27%),DOWN
Mon 10 Apr '17,756.33 M,-0.06 (-2.55%),DOWN
Wed 10 May '17,2.13 B,+0.46 (+17.83%),UP
Thu 11 May '17,1.94 B,+0.13 (+4.30%),UP
Fri 12 May '17,962.62 M,+0.03 (+1.10%),UP
Mon 15 May '17,1.09 B,+0.16 (+5.02%),UP
Tue 16 May '17,1.12 B,+0.06 (+1.86%),UP
Thu 08 Jun '17,1.16 B,+0.27 (+7.26%),UP
Mon 03 Jul '17,709.07 M,-0.13 (-3.62%),DOWN
Mon 07 Aug '17,717.41 M,+0.13 (+3.07%),UP
Fri 11 Aug '17,1.5 B,-0.22 (-5.33%),DOWN
Fri 15 Sep '17,1.36 B,+0.27 (+6.32%),UP
Mon 18 Sep '17,1.68 B,+0.19 (+4.13%),UP
Tue 19 Sep '17,874.28 M,-0.00 (-0.11%),UP
Mon 16 Oct '17,576.64 M,+0.08 (+1.72%),UP
Fri 10 Nov '17,1.25 B,+0.27 (+5.27%),UP
Wed 29 Nov '17,1.4 B,-0.36 (-6.78%),DOWN
Fri 01 Dec '17,811.55 M,-0.08 (-1.51%),DOWN
Mon 04 Dec '17,1.24 B,-0.28 (-5.57%),DOWN
Tue 05 Dec '17,981.49 M,+0.03 (+0.58%),DOWN
Wed 03 Jan '18,914.7 M,+0.33 (+6.58%),UP
Thu 04 Jan '18,583.27 M,+0.03 (+0.53%),UP
Fri 05 Jan '18,580.12 M,+0.05 (+0.85%),UP
Mon 08 Jan '18,881.22 M,+0.17 (+3.06%),UP
Tue 09 Jan '18,497 M,-0.00 (-0.03%),UP
Tue 27 Mar '18,1.41 B,-0.47 (-7.76%),DOWN
Wed 28 Mar '18,945.91 M,-0.10 (-1.85%),DOWN
Mon 02 Apr '18,922.09 M,-0.26 (-4.55%),DOWN
Mon 07 May '18,687.62 M,+0.24 (+4.02%),UP
Tue 08 May '18,506.61 M,+0.04 (+0.69%),UP
Wed 09 May '18,596.76 M,+0.13 (+2.15%),UP
Thu 10 May '18,994.08 M,+0.11 (+1.70%),UP
Mon 04 Jun '18,642.03 M,+0.18 (+2.81%),UP
Tue 05 Jun '18,391.71 M,+0.01 (+0.08%),UP
Mon 25 Jun '18,665.82 M,-0.30 (-4.71%),DOWN
Tue 26 Jun '18,478.89 M,+0.07 (+1.20%),DOWN
Wed 27 Jun '18,453.89 M,-0.16 (-2.59%),DOWN
Wed 08 Aug '18,262.1 M,+0.04 (+0.57%),UP
Tue 14 Aug '18,466.22 M,+0.13 (+2.07%),UP
Thu 23 Aug '18,720.68 M,+0.10 (+1.53%),UP
Fri 24 Aug '18,531.51 M,+0.13 (+2.02%),UP
Mon 27 Aug '18,505.78 M,+0.09 (+1.35%),UP
Wed 29 Aug '18,420.11 M,+0.10 (+1.50%),UP
Fri 21 Sep '18,435.13 M,-0.07 (-1.06%),DOWN
Mon 01 Oct '18,622.06 M,+0.21 (+2.97%),UP
Tue 02 Oct '18,383.96 M,-0.07 (-1.00%),UP
Wed 10 Oct '18,684.94 M,-0.50 (-7.48%),DOWN
Thu 11 Oct '18,725.44 M,-0.26 (-4.30%),DOWN
Mon 15 Oct '18,449.76 M,-0.28 (-4.53%),DOWN
Wed 24 Oct '18,884.29 M,-0.54 (-9.79%),DOWN
Fri 16 Nov '18,1.96 B,-0.95 (-18.76%),DOWN
Mon 19 Nov '18,1.7 B,-0.49 (-12.00%),DOWN
Tue 20 Nov '18,1.69 B,+0.11 (+3.03%),DOWN
Wed 21 Nov '18,1.03 B,-0.11 (-2.93%),DOWN
Fri 21 Dec '18,863.74 M,-0.14 (-4.09%),DOWN
Mon 24 Dec '18,463.84 M,-0.06 (-1.92%),DOWN
Wed 13 Mar '19,768.9 M,+0.15 (+3.75%),UP
Fri 15 Mar '19,661.46 M,+0.11 (+2.57%),UP
Tue 19 Mar '19,854.97 M,+0.17 (+4.00%),UP
Thu 21 Mar '19,824.31 M,+0.24 (+5.47%),UP
Fri 26 Apr '19,868.99 M,-0.22 (-4.72%),DOWN
Mon 29 Apr '19,391.92 M,+0.03 (+0.70%),DOWN
Tue 07 May '19,555.22 M,-0.17 (-3.75%),DOWN
Thu 09 May '19,660.25 M,-0.09 (-2.14%),DOWN
Fri 10 May '19,569.5 M,-0.03 (-0.80%),DOWN
Mon 13 May '19,656.91 M,-0.26 (-6.14%),DOWN
Thu 27 Jun '19,445.44 M,+0.10 (+2.49%),UP
Fri 28 Jun '19,397.67 M,+0.02 (+0.61%),UP
Mon 01 Jul '19,711.53 M,+0.05 (+1.18%),UP
Wed 24 Jul '19,366.24 M,+0.08 (+1.71%),UP
Mon 05 Aug '19,589.16 M,-0.26 (-6.45%),DOWN
Tue 06 Aug '19,361.27 M,+0.04 (+1.03%),DOWN
Thu 05 Sep '19,696.49 M,+0.27 (+6.51%),UP
Tue 15 Oct '19,667.99 M,+0.25 (+5.28%),UP
Wed 16 Oct '19,432.75 M,-0.05 (-1.10%),UP
Mon 25 Nov '19,507.35 M,+0.26 (+4.89%),UP
Thu 12 Dec '19,406.08 M,+0.17 (+3.10%),UP
Tue 17 Dec '19,323.26 M,+0.08 (+1.39%),UP
Thu 19 Dec '19,453.11 M,+0.15 (+2.59%),UP
Fri 20 Dec '19,603.38 M,+0.10 (+1.66%),UP
Mon 13 Jan '20,320.34 M,+0.19 (+3.14%),UP
Mon 10 Feb '20,529.61 M,+0.28 (+4.52%),UP
Tue 11 Feb '20,638.56 M,+0.12 (+1.87%),UP
Wed 12 Feb '20,374.64 M,+0.12 (+1.74%),UP
Fri 14 Feb '20,1.04 B,+0.48 (+7.02%),UP
Tue 18 Feb '20,621.88 M,+0.17 (+2.34%),UP
Wed 19 Feb '20,694.33 M,+0.45 (+6.11%),UP
Thu 20 Feb '20,810.05 M,-0.15 (-1.91%),UP
Thu 12 Mar '20,816.54 M,-0.75 (-12.24%),DOWN
Mon 16 Mar '20,726.97 M,-1.11 (-18.45%),DOWN
Fri 08 May '20,339.91 M,+0.19 (+2.50%),UP
Mon 11 May '20,469.06 M,+0.25 (+3.24%),UP
Fri 15 May '20,987.66 M,+0.46 (+5.73%),UP
Mon 18 May '20,776.4 M,+0.26 (+3.06%),UP
Tue 19 May '20,717.32 M,+0.06 (+0.63%),UP
Wed 20 May '20,587.54 M,+0.16 (+1.87%),UP
Mon 22 Jun '20,398.47 M,+0.27 (+2.87%),UP
Mon 06 Jul '20,315.89 M,+0.23 (+2.36%),UP
Wed 08 Jul '20,365.48 M,+0.34 (+3.49%),UP
Thu 09 Jul '20,494.55 M,+0.29 (+2.87%),UP
Fri 10 Jul '20,497.67 M,-0.03 (-0.28%),UP
Mon 03 Aug '20,413.02 M,+0.40 (+3.73%),UP
Tue 04 Aug '20,310.34 M,+0.22 (+1.98%),UP
Wed 05 Aug '20,250.5 M,+0.06 (+0.53%),UP
Thu 06 Aug '20,244.32 M,+0.05 (+0.43%),UP
Mon 17 Aug '20,621.3 M,+0.77 (+6.68%),UP
Tue 18 Aug '20,503.45 M,-0.08 (-0.62%),UP
Tue 01 Sep '20,512.47 M,+0.45 (+3.34%),UP
Wed 02 Sep '20,874.01 M,+0.53 (+3.80%),UP
Thu 01 Oct '20,525 M,+0.08 (+0.62%),UP
Wed 28 Oct '20,376.52 M,-0.77 (-5.75%),DOWN
Fri 30 Oct '20,417.4 M,-0.49 (-3.76%),DOWN
Wed 09 Dec '20,401.3 M,-0.42 (-3.14%),DOWN
Wed 06 Jan '21,580.42 M,-0.79 (-5.90%),DOWN
Thu 21 Jan '21,338.34 M,+0.50 (+3.75%),UP
Mon 08 Feb '21,434.62 M,+0.85 (+6.24%),UP
Wed 10 Feb '21,485.35 M,+0.50 (+3.51%),UP
Thu 11 Feb '21,450.83 M,+0.49 (+3.30%),UP
Tue 16 Feb '21,321.96 M,+0.37 (+2.47%),UP
Wed 03 Mar '21,377.59 M,-0.60 (-4.49%),DOWN
Thu 04 Mar '21,573.35 M,-0.43 (-3.39%),DOWN
Mon 08 Mar '21,543.11 M,-0.87 (-6.97%),DOWN
Thu 01 Apr '21,308.27 M,+0.46 (+3.47%),UP
Mon 05 Apr '21,255.67 M,+0.18 (+1.27%),UP
Wed 07 Apr '21,251.28 M,+0.28 (+2.03%),UP
Thu 08 Apr '21,244.41 M,+0.17 (+1.23%),UP
Mon 12 Apr '21,869.32 M,+0.81 (+5.62%),UP
Tue 13 Apr '21,676.21 M,+0.47 (+3.09%),UP
Thu 15 Apr '21,598.48 M,+0.86 (+5.63%),UP
Wed 12 May '21,303.41 M,-0.55 (-3.83%),DOWN
Thu 13 May '21,285.73 M,-0.09 (-0.68%),DOWN
Fri 28 May '21,644.54 M,+0.76 (+4.88%),UP
Wed 02 Jun '21,594.17 M,+0.51 (+3.16%),UP
Fri 04 Jun '21,617.12 M,+0.61 (+3.59%),UP
Mon 28 Jun '21,495.44 M,+0.95 (+5.01%),UP
Fri 20 Aug '21,675.74 M,+1.02 (+5.14%),UP
Mon 23 Aug '21,575.81 M,+1.14 (+5.49%),UP
Tue 24 Aug '21,297.3 M,-0.16 (-0.75%),UP
Wed 25 Aug '21,347.7 M,+0.42 (+1.93%),UP
Fri 27 Aug '21,304.72 M,+0.57 (+2.57%),UP
Mon 20 Sep '21,349.44 M,-0.79 (-3.59%),DOWN
Tue 21 Sep '21,204.69 M,+0.13 (+0.63%),DOWN
Tue 28 Sep '21,343.07 M,-0.96 (-4.44%),DOWN
Wed 29 Sep '21,218.39 M,-0.18 (-0.88%),DOWN
Mon 04 Oct '21,345.63 M,-1.01 (-4.87%),DOWN
Mon 25 Oct '21,230.23 M,+0.44 (+1.94%),UP
Tue 26 Oct '21,485.9 M,+1.55 (+6.70%),UP
Wed 27 Oct '21,245.99 M,-0.27 (-1.08%),UP
Thu 28 Oct '21,234.2 M,+0.49 (+2.00%),UP
Fri 29 Oct '21,292.5 M,+0.63 (+2.51%),UP
Thu 04 Nov '21,1.15 B,+3.20 (+12.04%),UP
Fri 05 Nov '21,851.26 M,-0.05 (-0.16%),UP
Mon 08 Nov '21,503.1 M,+1.05 (+3.54%),UP
Mon 13 Dec '21,598.34 M,-2.04 (-6.75%),DOWN
Wed 19 Jan '22,488.31 M,-0.84 (-3.23%),DOWN
Thu 20 Jan '22,435.18 M,-0.92 (-3.66%),DOWN
Fri 21 Jan '22,718.96 M,-0.78 (-3.21%),DOWN
Tue 25 Jan '22,664.62 M,-1.05 (-4.48%),DOWN
Mon 07 Mar '22,450.82 M,-1.58 (-6.91%),DOWN
Fri 18 Mar '22,730.72 M,+1.69 (+6.81%),UP
Mon 21 Mar '22,591.73 M,+0.28 (+1.06%),UP
Thu 24 Mar '22,877.38 M,+2.52 (+9.82%),UP
Mon 11 Apr '22,575.21 M,-1.20 (-5.20%),DOWN
Tue 12 Apr '22,662.26 M,-0.41 (-1.88%),DOWN
Mon 09 May '22,644.45 M,-1.73 (-9.24%),DOWN
Thu 02 Jun '22,648.66 M,+1.27 (+6.94%),UP
Mon 13 Jun '22,604.15 M,-1.33 (-7.82%),DOWN
Wed 20 Jul '22,760.54 M,+0.81 (+4.80%),UP
Thu 21 Jul '22,557.05 M,+0.24 (+1.36%),UP
Fri 26 Aug '22,769.13 M,-1.65 (-9.23%),DOWN
Mon 29 Aug '22,496.13 M,-0.46 (-2.82%),DOWN
Tue 30 Aug '22,530.18 M,-0.33 (-2.11%),DOWN
Wed 31 Aug '22,573.71 M,-0.37 (-2.42%),DOWN
Thu 01 Sep '22,1.18 B,-1.16 (-7.67%),DOWN
Fri 02 Sep '22,743.16 M,-0.29 (-2.08%),DOWN
Mon 10 Oct '22,698.7 M,-0.41 (-3.36%),DOWN
Fri 28 Oct '22,521.04 M,+0.66 (+4.99%),UP
Thu 10 Nov '22,700.82 M,+1.97 (+14.33%),UP
Fri 11 Nov '22,655.49 M,+0.58 (+3.66%),UP
Mon 14 Nov '22,527.85 M,-0.03 (-0.20%),UP
Tue 15 Nov '22,545.88 M,+0.37 (+2.28%),UP
Tue 13 Dec '22,656.59 M,+0.54 (+3.06%),UP
Tue 27 Dec '22,464.9 M,-1.08 (-7.14%),DOWN
Wed 28 Dec '22,351.07 M,-0.09 (-0.60%),DOWN
Tue 17 Jan '23,511.1 M,+0.80 (+4.75%),UP
Mon 23 Jan '23,655.16 M,+1.35 (+7.59%),UP
Tue 24 Jan '23,496.2 M,+0.07 (+0.38%),UP
Thu 23 Feb '23,1.12 B,+2.91 (+14.02%),UP
Thu 16 Mar '23,584.95 M,+1.31 (+5.42%),UP
Wed 22 Mar '23,797.3 M,+0.27 (+1.03%),UP
Thu 23 Mar '23,564.89 M,+0.72 (+2.73%),UP
Mon 01 May '23,570.33 M,+1.16 (+4.18%),UP
Mon 08 May '23,344.98 M,+0.47 (+1.64%),UP
Wed 17 May '23,432.54 M,+0.96 (+3.30%),UP
Thu 18 May '23,748.73 M,+1.50 (+4.97%),UP
Fri 19 May '23,473.91 M,-0.41 (-1.31%),UP
Thu 25 May '23,1.54 B,+7.44 (+24.37%),UP
Fri 26 May '23,714.4 M,+0.97 (+2.54%),UP
Tue 30 May '23,923.4 M,+1.16 (+2.99%),UP
Thu 13 Jul '23,478.2 M,+2.07 (+4.73%),UP
Fri 14 Jul '23,772.08 M,-0.51 (-1.10%),UP
Mon 17 Jul '23,510.49 M,+0.99 (+2.18%),UP
Tue 18 Jul '23,570.19 M,+1.03 (+2.22%),UP
Wed 09 Aug '23,586.45 M,-2.11 (-4.72%),DOWN
Thu 10 Aug '23,492.71 M,-0.17 (-0.39%),DOWN
Fri 11 Aug '23,533.09 M,-1.53 (-3.62%),DOWN
Tue 29 Aug '23,701.4 M,+1.95 (+4.16%),UP
Wed 20 Sep '23,367.11 M,-1.28 (-2.94%),DOWN
Thu 21 Sep '23,450.74 M,-1.22 (-2.89%),DOWN
Thu 26 Oct '23,541 M,-1.45 (-3.48%),DOWN
Fri 10 Nov '23,422.44 M,+1.38 (+2.95%),UP
Mon 08 Jan '24,642.51 M,+3.16 (+6.43%),UP
Tue 09 Jan '24,773.1 M,+0.89 (+1.70%),UP
Wed 10 Jan '24,533.8 M,+1.21 (+2.28%),UP
Thu 11 Jan '24,596.76 M,+0.47 (+0.87%),UP
Fri 12 Jan '24,352.99 M,-0.11 (-0.20%),UP
Tue 16 Jan '24,449.58 M,+1.67 (+3.06%),UP
Fri 19 Jan '24,543.5 M,+2.38 (+4.17%),UP
Mon 05 Feb '24,680.08 M,+3.17 (+4.79%),UP
Thu 22 Feb '24,865.1 M,+11.07 (+16.40%),UP
Mon 04 Mar '24,615.62 M,+2.96 (+3.60%),UP
Wed 06 Mar '24,582.52 M,+2.74 (+3.18%),UP
Thu 07 Mar '24,608.12 M,+3.97 (+4.47%),UP
Fri 19 Apr '24,875.2 M,-8.47 (-10.00%),DOWN
Thu 23 May '24,835.07 M,+8.85 (+9.32%),UP
Fri 24 May '24,429.49 M,+2.67 (+2.57%),UP
Tue 28 May '24,652.73 M,+7.43 (+6.98%),UP
Wed 29 May '24,557.44 M,+0.92 (+0.81%),UP
Wed 24 Jul '24,327.78 M,-8.34 (-6.80%),DOWN
Thu 25 Jul '24,460.07 M,-1.97 (-1.72%),DOWN
Tue 30 Jul '24,486.83 M,-7.86 (-7.04%),DOWN
Mon 19 Aug '24,318.33 M,+5.42 (+4.35%),UP
Tue 08 Oct '24,285.72 M,+5.17 (+4.05%),UP
Wed 09 Oct '24,246.19 M,-0.24 (-0.18%),UP
Thu 10 Oct '24,242.31 M,+2.16 (+1.63%),UP
Thu 07 Nov '24,207.32 M,+3.27 (+2.25%),UP
Mon 06 Jan '25,265.38 M,+4.96 (+3.43%),UP
Mon 27 Jan '25,818.83 M,-24.20 (-16.97%),DOWN
